3ehx_A -2.292_-4.242_-5.148
5brn_ABCD -16.379_15.935_-20.070
2p3a_AB 16.296_-0.157_0.133
2nwl_ABC 10.928_2.993_8.655
1akv_A 53.340_14.924_22.765
4k6v_ABC -25.147_14.232_-27.013
2fgu_AB 20.230_-2.703_16.083
3kwb_X -8.280_10.043_37.295
3lzu_AB 9.728_-15.466_0.429
6d55_ABC 35.643_28.951_23.195
2yiq_A -36.357_32.939_10.387
4zyu_A 22.365_-17.530_-32.208
2o9a_AD 8.333_1.174_-33.567
3aqt_AB 55.556_28.910_21.128
3r2b_A -7.000_-54.952_10.221
4hw3_A 37.255_-8.829_24.731
3fw4_A 26.903_80.371_62.003
5y8y_A 11.180_7.970_2.662
1okw_AB 41.415_23.964_0.700
6ic7_ABCD 11.313_-14.411_-22.471
2am2_A 18.271_43.702_53.143
1qbo_A 27.490_0.411_55.090
3ur9_A -19.996_-20.408_32.373
3bgb_AB 12.184_-20.040_-17.563
4ded_A -3.789_-30.486_4.927
4rio_A 0.711_-15.222_-4.951
3srg_A -7.770_-20.692_29.611
4nrb_A 28.747_9.414_0.370
6h4y_A 5.251_-14.230_-51.793
5huy_BC -1.074_5.275_-7.371
4ob0_AB 35.204_-9.548_13.154
4h7q_A -8.924_-32.262_15.971
3rqw_ABCDE -113.942_-69.968_-61.257
2o4j_AC 62.674_3.262_-3.926
4u03_A 68.427_14.578_164.276
6evo_A -16.969_11.376_-11.126
6iae_A 7.131_-23.655_14.867
4att_A -14.418_1.436_-14.529
2rjs_AB 24.136_12.500_7.633
3thb_A -44.061_10.557_9.491
3c8e_AB 40.828_67.967_9.703
1bo5_OZ 9.605_75.091_72.680
3v5q_A -7.971_-28.960_-15.748
1gwm_AB 36.070_11.610_22.825
2xah_AB -6.683_65.101_85.286
5vm6_A 37.645_-11.769_0.833
1lhg_HIL 16.776_-13.952_22.396
6f0y_A -10.885_-6.616_-8.761
3spk_AB -9.476_16.469_1.103
5u6b_A 25.113_-12.986_17.879
3d50_A 28.919_67.058_10.112
4e6q_A 11.416_25.892_8.884
3lpi_AB 23.488_12.230_23.149
4frj_A 31.192_49.367_76.586
4tmk_A 20.369_108.350_17.500
2o5k_A 8.607_29.222_-10.475
5e2k_A -3.483_4.158_14.578
6c5h_ABHL 10.791_18.489_34.882
1vjd_A 8.357_5.484_1.111
4gy5_A 20.659_34.035_-0.179
6njh_A 3.680_-13.207_49.667
1i7z_AB 38.809_5.362_47.268
4hfp_AB 5.329_14.718_-1.693
4uac_AB 26.965_64.802_25.634
2xnb_A 24.519_26.891_27.488
1sqc_A 101.522_32.040_24.447
5n53_AB -27.698_15.633_5.779
3e5u_CD 9.913_-22.970_17.342
2qi5_AB 20.058_30.312_14.009
1x78_ABCD 29.429_36.201_38.522
4fkk_ABCDEFGHIJ 27.739_17.115_58.877
3zkf_EKL 36.470_194.387_-15.199
3lq5_AB 55.643_-17.658_-12.788
4ju4_A -23.692_51.088_55.622
4f7j_AB -3.138_-21.093_153.078
4ijp_A -24.372_-29.195_20.826
4kp6_A -41.842_90.920_115.277
5exl_A 40.675_-19.416_28.924
3l9n_AC 32.218_18.028_58.387
2euk_A 16.501_-4.055_23.133
6ffe_A 40.525_17.695_9.446
3ob2_B -65.230_31.252_5.660
3sji_A -9.070_-9.293_-1.492
4eqc_A 15.362_34.536_-16.095
1kds_A 25.484_6.210_14.830
3wfg_A 0.476_31.076_41.798
1hi3_A 13.680_17.671_8.629
2ea2_A 17.753_30.409_17.692
3ljo_A 19.289_-7.733_11.056
1pkx_AB 37.080_4.665_113.535
2zcs_A 56.950_14.319_52.785
4r02_ABCDEFGHIJKLMNOPQRSTUVWXYZab 12.714_-137.842_17.276
3rdv_A 13.560_-16.427_-14.819
6d49_A -8.033_8.619_41.039
1aid_AB 64.526_38.013_-0.540
5xig_AD 4.779_-1.305_-28.480
5lm6_A -24.446_-2.745_62.456
3kac_A 43.719_2.302_-1.854
3uew_A -3.090_9.954_19.181
1nlp_C 55.495_-6.638_5.033
6g5u_B 19.945_-1.031_-16.590
4hy1_A 8.357_1.536_-9.341
4mcb_AB 24.151_41.803_-3.312
5d1w_AB 44.728_-31.761_9.646
6g8n_ABCDEFGHIJKLMNOPQRSTUVWXYZab 60.573_-139.503_44.091
4ojq_AB -18.536_-31.769_34.364
3jpv_AB 26.493_49.665_0.554
6ijh_A -21.592_-14.273_37.517
4agp_A 91.206_97.305_-45.707
6bbu_A 10.304_14.732_-15.729
1uym_A 4.032_10.971_24.567
6hoi_A -5.503_-5.551_-5.168
5qcm_A 41.581_-20.084_28.875
2gu8_AC -9.515_-10.169_2.131
4rsp_A -23.275_-4.728_2.456
4ahr_AB 16.669_-23.298_11.689
6ebe_A -3.510_4.928_13.745
3zm9_A -14.532_11.243_-10.388
4nue_A -15.025_8.153_-5.045
3e9i_AB 58.963_-78.345_22.683
3eyl_AB 33.220_-5.196_12.100
1qbt_AB -9.062_15.659_27.944
4y6r_AB 1.214_12.027_22.008
2zu5_A 17.224_0.734_22.436
2xp7_A -40.224_17.641_14.971
1t2v_A 70.479_41.399_30.022
4y2y_A -17.647_-9.253_65.536
4qag_A 5.821_29.289_4.177
1sri_AB 20.204_4.608_14.115
3saz_A 34.938_76.995_62.542
4ufg_HIL 143.251_-12.753_93.634
5ura_A 9.335_-8.317_3.853
3zdv_ABCD -8.915_17.552_24.221
6pno_A 16.876_-3.577_16.214
4oi6_AB 10.480_7.890_2.823
6qfe_AC -3.466_-15.124_67.837
3fej_AB 3.716_26.506_17.771
3fql_A -16.721_-12.405_9.813
2fs8_ABCD -3.774_18.883_69.454
5agu_ABD -28.300_64.717_-26.139
5mes_AHL -8.906_-4.504_-27.152
5tz3_A 7.524_5.789_4.591
5js3_E 10.526_40.695_-5.407
5c1m_AB 1.351_16.612_-58.987
1czl_A 3.888_43.201_50.520
3ia6_AB 18.166_64.133_13.009
5n3y_E 11.364_40.047_-5.789
3pjg_A 43.564_-7.081_12.012
6ey8_A 1.524_33.944_23.989
3owb_A 0.554_8.377_24.294
5ceh_AB 129.189_368.452_115.152
1ggn_A 25.008_24.127_28.307
5dah_A -11.252_21.673_-5.182
1det_A 23.380_-47.173_3.032
5akw_A -6.397_-37.077_12.470
2pj1_A 37.406_13.045_61.521
4wiv_A 14.423_-3.886_-8.172
1ezq_AB 7.298_4.818_22.045
1guw_A -7.063_-8.660_-0.637
3pd8_AB 46.542_26.166_42.712
5ugd_A 16.861_-6.882_134.976
5a54_A 37.468_-29.264_10.651
2jfz_AB 15.006_59.611_38.373
2b1r_AB 45.727_1.105_96.186
1o3i_A 43.573_-2.638_29.704
4o10_AB 15.644_8.031_1.802
3jzp_A -16.632_7.820_-5.397
1a8i_A 33.306_22.150_27.015
3gta_A 80.104_61.234_14.766
3nu9_AB 12.936_20.591_16.753
3eid_AB -10.682_206.646_115.474
2oxd_A 22.173_7.171_19.638
1jmg_A 15.153_47.224_-54.187
6stl_A 24.630_-24.512_104.651
3u93_AB 20.731_21.785_18.836
4uva_AB -6.440_63.928_85.624
5zz4_A -9.874_12.924_271.754
5d24_A 8.965_6.089_-1.309
5a5r_A -28.662_45.305_11.633
5vrl_A -2.257_17.203_12.228
5lle_A -3.188_4.981_13.742
3mz6_A 0.122_43.107_2.148
5lrq_A 33.874_3.465_103.217
6n3o_A -3.398_-15.557_14.955
5oxk_A 24.013_17.228_-3.895
6pi7_ABC -14.192_60.851_66.028
3e3b_X -27.439_22.231_-18.044
3cj4_A -26.351_8.651_-13.404
2e7l_ADE 38.009_-32.414_63.656
4ory_E 4.264_-3.713_4.174
4qfr_ABC 47.013_-81.996_-39.379
4lnf_ABCDEFGHIJKL 17.681_32.766_-26.915
6dj5_AB 15.865_22.324_16.937
4wt6_A -41.675_-2.063_2.220
5gmv_B 17.109_2.661_18.422
5w2p_A 47.519_-7.670_-16.283
4fpf_A -5.166_-6.500_-36.537
4qj0_AB 26.033_6.599_12.045
5alr_A -16.470_-10.621_16.537
6chh_ABCD -2.442_1.386_-6.843
3rwc_AB 3.169_20.985_-0.864
6dq8_A -24.545_22.680_3.801
1o4i_A 17.620_27.555_17.332
4pnw_AB 37.636_14.289_46.490
3okc_A 7.679_7.846_21.929
3fuz_A 6.280_-15.499_19.537
3lil_A 5.577_26.658_6.851
5hdv_A 20.757_10.045_21.428
4p4f_ABCDEF 20.163_45.443_43.083
3owl_A 22.858_6.335_14.804
3t0x_AB 27.812_-1.994_-6.460
3k7f_AB -39.943_42.377_7.731
1mwt_A 28.023_29.102_87.649
4hvi_A 2.749_-15.529_-4.948
1j4p_A -0.540_-17.059_-19.247
3rt4_ABCD -29.382_-27.562_-20.992
4p1u_A -48.634_-5.393_4.193
6gfs_A 10.329_-2.680_55.716
1ntv_A 4.945_-8.863_15.989
4oak_AB -45.528_4.539_-32.003
3d28_A 92.963_8.748_51.818
5mpz_A 1.197_22.602_75.288
1q6k_A 73.010_-9.914_134.317
3w8o_A 65.303_-55.303_-8.706
6gg8_AB -8.646_16.966_-17.469
5bns_AB 13.096_2.194_63.759
2ql7_ABCDFG -53.294_25.609_-1.861
4w9g_ABC 13.067_52.517_88.544
4fab_HL 25.369_-14.330_18.742
4qyg_A 0.495_6.044_18.133
3sio_ABCDEKLMN -36.986_-2.471_-18.498
4hmk_A -18.902_13.304_-7.617
1eb1_BHL 18.525_-1.500_38.764
3u6i_A 23.633_-2.943_16.157
5qaf_A -12.709_-21.293_26.345
3zhx_AB 20.229_22.007_-17.129
2xez_A 15.260_-1.827_10.874
5ema_A -9.427_-0.001_14.092
3eyd_AB 194.045_-8.679_49.683
6f86_A 62.010_28.813_63.935
5tfx_A -2.173_6.050_83.266
1ew8_AB 74.430_38.708_43.677
2hiz_A -24.441_57.396_64.198
3kwz_A 12.470_-17.503_1.393
5o9r_AB -13.332_12.350_20.659
5d6j_AB -31.231_6.628_11.881
3st5_AB 15.991_22.624_17.008
1iyl_A 13.753_47.527_-0.753
2aeb_A 66.240_12.741_29.884
4erk_A -16.887_15.576_42.437
5k0i_A 9.891_14.977_28.017
6dd1_A -14.753_31.348_17.736
6q96_A -15.668_-2.680_9.759
6i14_A -0.159_-1.839_-11.856
5a82_A -29.355_43.230_11.305
2uup_A -20.782_-1.689_-20.521
1jik_A 33.525_11.076_83.735
4l58_A 2.809_5.873_13.051
2o64_A 74.935_35.688_-0.179
2xaq_AB -5.949_62.926_86.688
4muw_AB 14.001_89.022_40.999
6pnn_A 17.312_-3.491_15.868
6bo6_A -61.887_-58.645_-36.138
4ir5_A 30.025_8.142_0.713
6mr5_A 171.517_-6.230_22.144
5j6l_A -35.200_-11.194_25.090
1c86_A 10.551_45.821_19.388
6uil_A 65.463_110.119_276.254
6nj0_A 12.610_-17.361_-4.959
2vcw_AB 4.391_15.427_1.126
3bi0_ABCDE 17.716_45.624_42.741
1gui_AB 55.816_20.833_10.013
2zjf_A -4.014_1.085_19.857
4x8n_A -29.267_1.027_-25.329
3b67_A 27.934_2.536_5.460
4itj_A 19.447_-3.133_53.710
3pb9_X 8.401_14.209_-16.440
3qto_HIL 16.799_-13.074_22.397
2ykj_A 5.599_12.595_25.365
2gv6_A 16.357_64.636_25.430
2w9r_A 12.890_11.160_16.567
3coy_AB 14.641_9.732_2.426
3dgn_A 26.309_-16.145_-19.032
5er1_E 37.772_-12.162_5.030
1xoz_A 47.326_35.010_12.317
6jz0_A -21.470_-50.449_-2.339
2qbx_B -7.866_4.550_-11.475
2o9r_AB 64.461_28.050_38.107
5a46_A 85.593_2.562_7.204
1ui0_A 22.748_9.066_11.506
3kr5_ABCDEF 86.162_71.468_30.629
5ieo_A 17.111_67.377_-1.798
2bpv_AB 12.184_23.163_5.380
4afg_ABCDEFGHIJ 45.408_-1.922_14.949
6g0q_A 35.183_10.307_18.171
3zo1_AI -28.069_-9.453_-3.773
1afl_A 37.619_-5.493_18.531
1rdt_ABDE 8.338_36.854_43.194
4mhz_A -20.878_19.926_-4.762
5teg_A -8.627_9.950_-1.208
4pox_A 19.534_-7.115_-2.305
3at3_A 51.266_11.683_14.983
5u00_A 9.147_6.206_5.733
1rpa_AB 44.923_-0.397_8.102
3l5d_A 24.561_12.222_22.183
3q2a_ABCE -9.446_15.115_-19.437
6q9s_A 53.267_-22.728_-72.978
5y12_A -5.667_7.125_-19.225
2hkf_HL -5.836_25.494_-15.635
5a3u_ABC -20.477_30.423_1.986
2y4m_A 47.729_-35.138_63.389
5khd_AR -20.811_-5.597_8.427
5uv2_A -8.956_12.816_-19.146
1uz4_A 74.824_12.610_33.148
4io7_AB 3.944_50.730_-9.229
3q0z_A 22.194_4.056_-12.906
3zyb_A 2.410_-16.731_-6.820
5wf7_AB -22.768_0.686_-23.034
3msl_A 17.643_-39.933_8.421
5xyz_AB -8.115_-14.621_-36.497
4gql_A 7.150_26.924_4.251
4q6r_AB 34.468_12.385_22.758
1o2w_A 43.031_-2.685_31.414
6as6_A 33.823_77.494_62.513
2nwn_A 81.645_49.799_-13.328
4r6e_A -68.422_23.353_27.224
2xjx_A 14.687_-3.225_5.086
1u9e_AC 29.368_36.164_38.737
3mt9_A 18.673_14.102_54.099
4uns_A 6.151_18.339_-6.782
3jvk_A 14.139_-9.449_-5.284
4zs2_A 174.824_6.747_32.609
3g4f_A 14.157_-45.440_13.410
1w7g_HIL 16.752_-14.098_20.431
2xk1_A -28.278_42.192_60.973
5wg6_AB -81.710_2.744_-54.867
3h03_AB 22.626_-1.983_21.286
5pzn_A 24.308_9.394_14.995
3mkf_A 30.808_68.105_4.705
1mfi_ABC -5.340_12.709_-3.212
3jya_A 6.674_82.219_0.366
1j7z_B -15.442_-2.727_14.035
2a0c_X 0.899_7.427_27.472
1ikw_AB -9.866_143.000_175.052
5i8g_A 31.533_11.991_14.346
6qfh_A -35.672_-23.057_-19.155
1v2s_T 53.170_67.198_-29.106
1d4k_AB 5.343_-2.685_14.853
4ezo_B -12.579_9.787_-13.229
4tkg_A 23.414_43.154_0.904
3h52_AD -34.964_25.474_-36.664
4avs_ABCDE 18.015_15.430_56.640
4kpx_A -9.194_24.036_70.941
4dgb_A 17.264_4.128_19.023
1pmn_A 22.973_10.875_31.237
4trz_A 28.657_6.262_16.839
3zcz_A -2.633_0.273_33.638
6jno_ABCD -1.783_-13.108_18.246
5qa8_A 26.315_-12.748_-20.868
5mgx_F -36.525_22.935_61.310
1q1m_A 28.681_29.557_20.668
5owf_A 19.872_57.219_47.025
4wcu_ABCD 23.539_-1.078_-7.051
3w2t_ABCDEFGHIJ 54.719_63.656_35.902
6jb4_AB -6.450_-33.023_-15.091
5vew_A 20.626_31.823_28.756
6e3o_A -21.452_17.265_135.182
6ps6_A 2.392_4.334_51.194
3ndm_AB -69.440_0.146_43.421
5lud_A -4.942_20.631_-8.243
4yh3_A -10.615_6.762_-2.431
1lev_AF 8.589_-29.490_4.752
6bee_ABC 94.966_103.767_42.420
3kqs_AB 27.851_44.296_15.729
4dus_A 65.642_48.155_9.237
5ntq_A 10.594_-33.310_-8.507
2ko7_A -18.952_-3.956_-2.908
1vjc_A 6.709_4.254_25.168
1y6a_A -0.152_30.131_18.377
6s89_A 0.387_48.808_-19.376
4g16_A 35.780_-18.391_27.671
3vfj_AG 1.136_36.023_9.088
1s5z_ABCDEF -0.042_-20.300_7.063
5o45_A 18.618_8.534_-16.151
2oiq_A -1.626_-32.669_7.519
6uim_A 66.867_108.847_273.998
4op1_A -37.731_24.281_17.975
5afx_AB 25.811_3.661_15.825
6olx_A 3.827_11.098_24.546
5ka3_A -43.441_13.613_1.818
3gcp_A 22.307_0.445_-18.724
1q6t_A 37.762_42.868_51.074
2ya7_AB 19.411_-31.602_19.464
4acu_A 5.356_0.959_-19.795
5iuh_A 21.027_-9.836_-9.930
1gt5_AB -0.407_-1.027_6.446
4r75_A -12.929_-9.039_12.067
2b4m_A 26.672_2.190_11.375
4d4d_A 3.202_-12.390_7.033
5up3_A 1.076_7.905_24.706
1jt1_A 8.150_-4.569_18.551
6h76_A -10.032_-7.443_13.565
5dp5_A -6.459_-6.801_-2.135
3mhc_A -5.129_5.954_12.351
4iu4_A 14.007_-19.265_-7.476
5jic_A -12.238_-9.187_-7.901
3rdo_A -27.002_-17.789_10.935
4n1z_F 30.273_16.655_7.205
1wss_HLT 34.049_6.133_9.896
1a0t_ABCDEFPQR -46.373_-14.692_-13.216
3mbl_A 31.822_27.619_40.393
6peu_A 42.956_59.400_13.179
4awk_A 56.900_15.648_17.517
5osk_ABCDEF 16.528_66.362_43.151
1urw_A 10.851_-9.311_9.280
1gt1_AB -0.509_-0.892_6.514
5g4m_B 124.558_105.136_-42.796
3d8w_A -4.301_4.760_14.498
4ovf_AB 10.163_-6.378_-10.104
6ocu_AB 39.479_14.799_33.792
3wp0_A 30.459_-35.427_11.224
4u0w_AB -42.854_-8.548_24.105
4dxg_AB -16.585_-22.237_23.795
3l5r_ABC 15.788_-36.390_-23.766
3kig_A 16.135_4.441_15.418
2sfp_AB 24.331_17.165_67.583
2qwf_ABC 26.769_16.945_62.357
1h1h_A 20.104_45.359_-4.162
3v04_A 32.508_-29.439_-27.516
3rux_A -3.753_-4.749_11.143
6qs1_ACDG -8.072_-17.072_-20.631
1w51_A 69.112_47.604_7.617
3ud9_BD -39.322_-3.983_19.081
2g1q_A 18.197_15.168_108.793
5kj2_A 35.005_9.812_184.113
3ms7_A 18.758_14.156_54.184
1r1j_A 29.233_43.001_33.444
5e2w_HL 31.928_-1.301_-6.222
1pig_ABCDE 37.705_21.685_58.720
2vww_A 11.528_6.575_11.498
3b3c_A 33.806_-2.696_39.938
4zy0_ABCDEF 173.747_247.646_31.200
6h7j_ACE 17.038_-31.993_-13.179
2xne_A 2.970_-33.478_-3.349
1mue_ABC 16.984_-13.754_23.303
1o8b_AB 22.841_21.643_19.540
6f90_A 21.819_123.571_-9.286
5ewd_A 7.927_-10.194_5.051
5i2z_A -18.436_-14.176_-0.695
3t1a_AB 8.600_11.713_17.509
4y0a_A 5.252_9.688_19.227
3udq_A 20.902_37.659_42.803
3c3q_A 31.525_38.227_0.673
2ajl_IJ 110.822_-77.430_-51.095
4pvv_A 12.028_-0.301_11.705
5zqr_AB 2.633_-11.480_-9.048
4tzq_A -40.577_78.524_-137.483
2gz7_A -24.454_-41.599_5.660
1zpb_A 14.072_51.861_21.774
5uiq_A 30.960_9.312_-9.792
1lyx_A 21.306_-2.145_7.710
5ttu_A -0.764_17.219_-5.419
4i2z_A 69.718_17.912_25.155
3d91_A -3.295_4.918_-5.754
4bcc_A 38.204_37.915_85.188
3dda_A 26.079_20.880_55.783
3g3m_A -13.432_-10.858_7.353
6arj_AB -6.737_20.481_23.541
5nhf_A -14.117_15.090_41.069
5ai8_A 17.144_-9.838_-10.863
6ce6_A -2.219_3.378_7.225
6n3f_AC 13.008_-5.293_-11.960
1o36_A 43.509_-1.858_32.172
4wsy_A 20.531_-38.077_-1.865
3at4_A -25.838_-11.625_-25.405
5l96_A -28.381_-9.374_-0.032
1dbb_HL -21.280_44.393_-12.401
5a3n_A 82.076_63.183_13.567
2dbl_HL -19.821_43.998_-13.127
2wzx_A 6.927_13.708_18.157
2ans_AB 6.724_29.878_18.187
2v86_B 6.464_-20.980_0.758
3p9h_A -0.427_8.285_3.792
1m7q_A 45.117_31.506_31.124
1td7_A 10.354_13.369_3.203
3pj2_A -16.587_5.795_-19.346
2vw1_A -5.032_76.621_22.827
4zx6_A 89.205_118.626_14.404
4xoc_A -57.693_-1.112_3.374
4yuw_AB 19.469_54.189_-0.819
4ruz_A -4.245_3.750_14.885
1zsr_AB -7.776_15.952_26.300
2xfi_A 30.590_3.000_34.346
6c4u_F 87.204_-4.905_-5.810
2f5t_AX 35.490_32.858_31.387
6c5k_CDHL 49.119_1.277_-5.207
1c8k_A 39.930_36.866_29.538
4nra_A 69.455_38.577_-0.841
1i9o_A -3.590_3.593_14.644
5mtv_A 61.804_155.743_60.015
2gvd_ABC 59.758_-12.534_54.959
5jzb_AB 4.054_-0.472_14.511
5wei_A 128.996_192.373_282.703
4cjr_AB 10.014_34.118_0.000
2ms4_A -3.579_3.905_-13.120
4tki_A 24.511_46.147_-0.526
2hxl_A 20.426_-3.898_8.406
2qmf_A 23.919_12.343_23.092
1dtt_AB -0.584_-34.529_24.448
3s3q_A 19.806_13.631_21.175
3uvu_A 39.694_71.124_50.220
4hki_AC 6.276_-11.976_12.353
5l7f_B 9.472_-4.608_28.905
6fhq_A 19.372_3.223_7.223
5fdp_A -3.209_4.356_-41.546
6mhc_AB 24.480_6.433_11.276
1tq4_A 14.038_23.597_40.485
5etv_A -10.206_39.305_21.421
5t1k_AB -24.408_35.463_-30.861
6hs4_ABC -46.522_11.393_2.027
3rv7_A 40.776_0.823_37.438
2arm_A 11.168_25.110_1.039
2vj7_A 29.875_1.889_34.226
2f8i_AB 20.970_-0.323_7.051
5f6v_A 12.679_9.298_110.798
4ge1_A 5.348_3.705_47.990
1hxb_AB 18.247_-0.823_10.855
3qrj_A 4.956_-12.476_27.969
1cp6_A 35.324_-3.464_41.751
4qvv_ABCDEFGHIJKLMNOPQRSTUVWXYZab 61.926_-135.423_39.551
4l32_AC 5.950_-37.690_-8.865
3tay_A -30.862_41.170_23.037
1v7a_A 49.470_55.036_20.075
3gpe_A 32.497_-22.686_18.382
3m58_A -37.650_9.496_3.340
4pml_A 24.839_48.970_-0.329
4ce3_A 16.600_-2.446_-5.279
2idw_AB 19.866_29.876_14.231
5j6d_A -17.486_-2.925_-10.592
2y1o_A -11.863_31.641_53.964
4qtn_ABC 49.582_67.102_42.592
6gf3_ABCDEF 16.322_66.752_43.084
5xag_ABCDEF 16.420_-65.652_-42.179
4lil_A 12.090_58.336_7.473
3bmy_A 1.509_3.106_18.797
2xb9_ABC -24.137_48.927_14.315
3r92_A 3.238_10.138_25.193
6jfk_A -34.924_12.219_7.333
4dve_A 45.214_-46.224_68.500
1oyq_A -3.223_5.164_25.297
4gpk_ABCDNOP 88.534_-67.344_70.820
5vb9_A 24.840_65.944_155.223
1rzx_A 12.810_27.131_2.329
4mw9_B -42.444_13.991_10.358
5j6m_A 1.257_33.710_24.074
3sw9_A 36.300_-26.574_6.026
6p1d_BD -40.825_-8.528_46.297
2r5q_AB 28.680_-11.897_-0.602
6i4x_ABC 128.510_30.387_214.580
6hvu_ABCDEFGHIJKLMNOPQRSTUVWXYZab 60.983_-134.388_39.104
6k5t_A 4.674_-4.396_-6.407
6ox0_AY 4.917_6.533_18.148
3p8e_A -26.191_20.574_-18.380
3adv_AB 17.932_64.056_14.249
4bzo_A 22.865_-35.179_3.277
1w3l_AB 59.699_47.632_36.913
3dz5_AB -17.057_-6.839_6.568
4ft2_AB -33.018_36.516_-21.418
4njd_A -20.413_-4.800_13.617
2zdt_A 47.980_7.453_31.367
1v41_E 54.110_47.488_26.656
4zt8_A -16.452_15.203_-2.187
5aia_A -17.246_-9.501_10.483
3nti_A 10.764_0.017_-2.823
1oe0_AB 35.240_17.440_11.463
2xda_A 1.490_14.607_24.117
1j1a_AB -17.366_29.222_14.620
3n7s_AD 20.777_21.098_72.702
3pcb_ABCDEFMNOPQR 14.764_11.537_40.744
6oxx_AB 70.618_56.701_16.805
1rwq_AB 50.002_51.854_34.467
2e5y_AB 23.649_16.927_12.967
4qt0_ABCD -65.644_21.648_-48.018
3obu_A -0.819_-10.538_-3.657
2nv7_ABCD 29.921_36.818_39.104
3hu3_AB 21.385_46.914_-11.340
2g70_A 27.635_44.198_17.764
4ode_A 8.584_-24.198_-2.574
6ocq_A 19.697_-3.142_52.622
6mtv_A 2.898_-8.640_15.042
1bbz_A 6.653_35.615_8.706
4jje_A 39.929_11.278_71.236
4yp8_A 28.470_6.855_-5.122
3qem_ABE 85.792_6.544_-32.175
2y8i_X 19.972_40.010_56.374
6ft3_A 29.523_16.578_-1.455
5zni_A -6.811_30.781_11.700
3nrz_ABCJKL 37.669_19.961_18.005
4llp_A 4.298_12.857_42.421
5lvf_A -5.012_3.542_-28.291
4fxf_ABCD 31.439_22.445_120.099
4dcv_A -17.792_-12.415_-35.982
5x73_A 19.142_-17.277_12.595
3l8v_A 0.466_6.772_55.197
6bg3_A 14.828_-10.200_-9.408
2o7e_ABCD 20.538_13.239_36.649
1elr_A 22.788_7.305_15.296
966c_A 9.965_-10.255_37.680
4xh6_A 19.071_-37.569_-0.118
4urm_A 41.255_0.106_26.906
4wke_A -6.979_3.183_23.852
4e28_A 48.548_-20.123_13.200
1q4w_A 17.378_17.189_21.196
5yvx_A 22.278_103.764_16.722
4n4s_A -11.090_18.458_-1.349
5nyh_A 2.558_34.323_24.394
1jaq_A 27.827_59.637_52.089
2v13_A 82.880_18.146_-38.239
5jiq_AB 0.493_-0.283_7.437
3lk1_A -12.527_10.853_-8.049
2b07_A 47.816_8.849_2.376
5ta4_A 7.231_16.406_0.649
3ti1_A -90.935_-8.232_-81.724
6i12_A -0.056_-1.975_-11.861
4kiw_ABCDEFGHIJKL 12.751_19.897_75.470
1i8z_A -3.854_5.728_13.143
6hhg_A 12.486_-15.489_-13.535
4ty7_A 40.842_-19.511_29.176
4oee_AB -11.767_-6.926_-3.716
3kek_A 45.931_21.553_17.599
4umt_A 33.878_20.931_21.040
4a7i_AB 48.201_5.014_55.909
3fyj_X 81.915_262.379_109.104
4eky_A 35.230_22.652_28.520
1wbo_A 6.023_12.098_31.370
6pgb_A 20.943_73.921_5.396
3d9z_A -4.331_3.384_14.722
3tzd_A 28.156_32.577_-3.349
4hge_A 58.162_9.734_4.080
3t64_ABCF -7.517_26.565_-3.685
3pm1_AB 37.127_-9.734_9.292
5vqv_AB 844.465_-30.493_145.555
1uml_A 49.701_53.615_19.084
4otf_A -38.708_26.831_-10.156
5v7w_A -36.670_20.666_20.066
1w6r_A 3.661_66.349_64.553
5gu4_A -15.201_8.682_22.751
4yqu_AB 18.356_-10.095_0.596
2y54_ABCDE 89.383_31.908_-30.698
1ms7_AC 10.688_25.852_5.227
4pyo_A 10.177_-1.366_-36.886
1err_AB 68.052_35.295_75.548
5om3_AB -4.591_17.292_-15.574
1qm4_AB 2.054_34.036_52.499
4p58_A 16.098_19.266_16.649
1xog_AB 25.996_17.311_62.216
1hbv_AB -8.542_16.451_26.904
5e2p_A 41.177_-19.831_29.188
4xv2_AB 0.202_-3.248_-21.040
3oof_AB 21.623_11.071_51.599
6e7s_ABE -11.378_-61.834_162.144
2ghg_A -5.078_5.228_-16.359
6bgz_A -26.102_21.508_3.344
4fhh_AB 2.105_33.856_36.780
4d0w_A 31.834_-13.191_3.810
5o0j_A 32.490_32.210_14.422
5zgg_AB 38.822_14.053_46.151
6h4p_A 5.010_-16.339_-52.737
6g9j_A 5.853_9.017_45.440
5dq8_A 45.118_44.197_-15.213
2xy9_AB 14.948_-3.626_-22.728
5l6i_AB -9.239_27.612_-13.569
3l16_A 20.022_63.799_20.204
4i8z_AB -18.266_0.540_-0.173
4mq2_A 40.144_20.045_-36.412
6gnr_AB 2.255_4.895_-0.126
3o9b_AB 19.686_30.393_14.342
2rox_AB 21.104_43.378_2.463
3wti_ABCDE 29.574_-27.533_-28.919
2a5c_AB 1.111_11.260_24.656
5jsg_A 11.313_40.377_19.860
5xof_AE 9.338_9.294_-7.579
6i13_A 29.745_-1.181_38.414
1o9e_A 35.808_49.456_39.213
5yc3_A 8.066_-14.312_16.840
4x3t_AB 16.711_5.619_14.735
5k8n_ABCDEFGH 66.700_101.353_-69.987
1nw7_A 29.680_23.599_-2.590
6f94_A 61.757_27.902_63.725
1a08_A 40.203_7.604_20.448
2hh5_B 15.224_-2.723_-8.614
4y8c_AB 77.668_53.210_41.000
4yay_A -16.530_10.554_41.286
5aki_A 17.161_-10.512_-14.727
5edi_A 92.894_-11.014_11.344
3tkh_A 22.259_-1.510_8.915
